EGG1 EGG2 EGG3 EN1 EN2 EN3 LN1 LN2 LN3 ADT1 ADT2 ADT3
TRINITY_DN14321_c0_g1 31 36 63 0 0 0 0 0 0 0 0 0
TRINITY_DN143210_c0_g1 1147.515 775.884 1036.432 915.163 270.994 471.102 794.672 704.933 688.384 975.466 1495.806 1424.992
TRINITY_DN143210_c1_g1 0 0 5 1 0 5 0 2 4 2 0 2
TRINITY_DN14322_c2_g1 2 0 1 0 0 2 3.576 1 1 1 0 1
TRINITY_DN653_c0_g1 3108.194 1810.978 2431.081 1407.808 676.335 1165.562 1523.297 1304.164 1589.328 1365.485 1741.196 1109.576
TRINITY_DN143226_c0_g1 0 0 0 0 0 0 0 0 0 0 39 0
TRINITY_DN143227_c0_g5 0 0 20.363 167.648 136.708 71.907 143.654 95.445 129.81 0 0 0
TRINITY_DN143229_c0_g1 0 0 3 2 1 0 2 0 1 0 0 2
TRINITY_DN14323_c0_g1 47 44 97.001 104.298 55 196.839 91.012 80.006 111.004 56.148 83.227 96.797
TRINITY_DN80580_c0_g1 0 0 0 0 0 0 0 0 0 0 25 0
TRINITY_DN14323_c0_g2 59.737 62.064 92.316 97.721 25 153.68 78.263 54.371 73.912 49.817 97.773 65.844
TRINITY_DN143237_c0_g1 0 0 0 2.996 0 3.002 0 0 0 0 0 2
TRINITY_DN143237_c0_g2 0 0 2 10.004 7 10.998 0 0 0 1 1 1
TRINITY_DN14324_c0_g1 0 0 0 0 0 0 0 0 0 59.545 10 18.903
TRINITY_DN78892_c0_g1 12966.644 8417.757 17177.275 4952.48 2327.018 4389.633 6055.296 4611.298 6240.357 3085.685 2226.583 2251.912
TRINITY_DN173643_c0_g1 0 0 0 0 1 4 2 9 0 1 0 3
TRINITY_DN17365_c0_g1 0 0 5 4 0 5 4 0 1 31 49 47
TRINITY_DN173654_c0_g1 0 0 0 0 0 0 2 6 1 3 0 1
TRINITY_DN173655_c0_g1 0 0 4 6.178 0 0 1 2 7.245 0 0 0
TRINITY_DN114129_c0_g1 0 0 0 0 0 0 0 0 0 0 55 0
TRINITY_DN173659_c0_g1 0 0 0 7 9 7 5 1 3.005 3 1 0
TRINITY_DN7127_c1_g1 76.511 58 90 66.113 36.003 42 281.31 258.171 255.065 203.79 229.007 365.443
TRINITY_DN173670_c0_g1 0 4 1 16 2 0 1 3.017 0 0 1 9
TRINITY_DN173676_c0_g1 19 7 50.127 0 0 0 0 0 0 0 0 0
TRINITY_DN173679_c0_g1 6 3 5 1 2 0 3 1 1 1 2 1
TRINITY_DN17368_c0_g1 145.027 142 314 459.537 175.105 417.088 639.008 533.895 764.539 567.391 498.844 448.651
TRINITY_DN17368_c0_g2 6 4 9 7 1 12 6 3.86 1.014 7 8.249 7.721
TRINITY_DN17368_c0_g3 1 0 1 2 2 5 6 5 1 2 4 2
TRINITY_DN17368_c1_g1 36 38.01 57 14 13 39 0 2 2 3 5 5
TRINITY_DN173685_c0_g1 0 0 2 6 0 6 1 2 0 2.001 6 1
TRINITY_DN173688_c0_g1 0 1 0 0 1 0 0 0 1 0 1 2
TRINITY_DN173692_c0_g1 9 1 4 0 0 8 1 0 0 0 0 0
TRINITY_DN173696_c0_g1 0 3 3 1 2 0 1 1 1 3 0 2
TRINITY_DN1737_c1_g1 94 102.417 123.988 103.453 52.41 41.653 48.232 69.615 42 61.007 49.027 72.009
TRINITY_DN45024_c0_g1 2399.94 1952.077 3254.74 1775.256 681.042 1091.047 1455.698 1169.323 1413.305 1276.852 1725.296 1170.921
TRINITY_DN93500_c0_g1 9.053 4.05 13.177 15.998 5.185 6 4.383 12.928 8.253 9.56 6.922 14.025
TRINITY_DN93501_c0_g1 0 0 0 0 0 0 0 0 0 0 27.114 0
TRINITY_DN78406_c0_g1 0 0 0 0 0 1 5 3 0 0 0 1
TRINITY_DN93501_c0_g2 0 0 0 0 0 0 0 0 0 0 22.109 0
TRINITY_DN65742_c0_g1 7 6 4 0 0 0 0 0 0 0 0 0
TRINITY_DN93502_c0_g1 0 0 0 0 0 0 0 0 0 0 26 0
TRINITY_DN2902_c0_g3 32.358 9.006 320.863 323.234 88.01 181.477 181.129 171.706 171.91 97.001 60.923 72.002
TRINITY_DN93504_c0_g1 0 0 0 1 0 3 0 0 1 0 2 0
TRINITY_DN93505_c0_g1 6 4 4 0 0 0 0 0 0 0 0 0
TRINITY_DN93507_c0_g1 9 0 3 0 1 4 0 0 0 0 0 0
TRINITY_DN93508_c0_g1 0 0 0 0 0 0 0 0 0 0 14.072 0
TRINITY_DN93508_c0_g2 0 0 0 0 0 0 0 0 0 0 18.928 0
TRINITY_DN93509_c0_g1 19 9.148 11.345 3 0 4 2 0 5 2 1 6.147
TRINITY_DN9351_c0_g1 1153.208 1130.388 1212.273 306.305 198.009 667.309 221.079 212.053 319.468 104.012 109.134 81
TRINITY_DN93510_c0_g1 34 25.396 34.006 26 27 17 190.001 149.023 124.076 86 82 76.006
TRINITY_DN93512_c0_g1 0 0 0 0 0 0 2 2 4 1 3 3
TRINITY_DN93513_c0_g1 4 2 1 0 0 0 0 0 16 0 10 0
TRINITY_DN93515_c0_g1 3 0 0 3 0 2 13.813 8.358 4.602 13 8.011 8.1
TRINITY_DN35191_c0_g1 0 0 0 0 0 0 0 0 0 0 16.657 0
TRINITY_DN32484_c0_g1 0 0 0 0 0 0 0 0 0 0 1237.792 0
TRINITY_DN4143_c1_g2 519.082 399.867 809.135 1360.976 681.75 920.627 2764.222 2595.519 2991.098 3753.285 4579.925 4246.046
TRINITY_DN3705_c0_g1 169 101.81 117.022 98 67 147.072 455.019 424.328 541.04 449.875 487.629 405.05
TRINITY_DN9352_c4_g1 4.997 1.026 1.012 1.196 1 2 0 1.97 1.01 0 2.183 0
TRINITY_DN9352_c5_g1 0 0 8.49 1.227 4.105 0 3 5.55 3 7.998 4 4.865
TRINITY_DN93520_c0_g1 0 0 0 0 0 0 0 0 0 0 11 0
TRINITY_DN93525_c0_g1 1 4 3 5 5 7 6 1 5 1 2 1
TRINITY_DN93526_c0_g1 10.002 11 13.906 30 15 22 34 23 10 38 46 45
TRINITY_DN93526_c0_g2 9 5 13 17 13 11 21 14 15 25.615 30 38
TRINITY_DN93526_c0_g3 0 3 2.094 0 0 0 3 1 2.484 0 1 3
TRINITY_DN93526_c0_g4 0 3 1 1 0 4 1.027 0 3.516 8.73 2.551 1
TRINITY_DN4929_c2_g1 491.641 454.412 573.949 378.651 234.071 342.39 416.031 407.958 474.009 284.875 304.919 271.173
TRINITY_DN9353_c0_g1 365.293 262.225 429.775 90 50.001 127.002 243.19 353.652 139.004 228.471 134.996 265.096
TRINITY_DN93534_c0_g1 4 3 5 0 1 1 0 0 1 0 0 3
TRINITY_DN93539_c0_g1 0 0 0 0 0 0 0 0 0 0 12 0
TRINITY_DN9354_c0_g1 546.061 286 467.162 358.45 107.677 207.014 384 318.539 415.948 250.126 205 110
TRINITY_DN93542_c0_g1 1 0 2 2 1 2 1 2.971 0 2 0.995 0
TRINITY_DN93546_c2_g1 10.674 12 1 6 3 23.001 9.051 8 5 8 9 8
TRINITY_DN93546_c3_g1 4 0 2 6.895 3 3.13 3 1.022 0 0 7 1
TRINITY_DN93548_c0_g1 0 0 2 4 3 4 6 2 8 9 3 4
TRINITY_DN93549_c0_g1 0 4 1 9 2 1 2 0 1 3 1 2
TRINITY_DN9355_c0_g1 0 2 7 14.936 4 33.18 4.749 23.524 16 7.433 0 4
TRINITY_DN9355_c2_g1 9 5 11 4 2 0 0 0 1 1 2 0
TRINITY_DN46944_c0_g1 0 0 0 2 0 0 6 17.711 2.972 2 0 3.774
TRINITY_DN9355_c2_g2 16 9 6 1 0 11 2 1 0 1 5 1
TRINITY_DN9355_c3_g1 13.015 14.644 15.057 7.987 3.917 5.024 14.739 23.355 19.381 7.344 13.805 19.503
TRINITY_DN9355_c4_g1 8 12 9 18.022 8.005 19.882 78.541 86.892 111 104.002 103.908 84.993
TRINITY_DN9355_c5_g1 2 0 1 4.064 4 5 5 9.037 12 4 1 2
TRINITY_DN93550_c0_g1 1 6 10.116 5.021 1 2 2 6.001 6.255 2 3 3
TRINITY_DN93552_c0_g1 23 17 35 14.945 10.139 9 18 20.075 22.995 13 7.982 9
TRINITY_DN93553_c0_g1 0 2 12 0 0 0 0 0 0 0 0 0
TRINITY_DN21201_c0_g2 65.054 32.032 14 38 35.118 38 196.347 173.214 223.263 134.004 149.061 169.673
TRINITY_DN93554_c0_g1 0 0 0 4 0 0 34 38 21 333.928 1687.637 765.421
TRINITY_DN93556_c0_g1 0 0 2 6.053 1 1 10.799 5.009 2.998 1.973 1 3.553
TRINITY_DN93556_c0_g2 0 0 5 12.948 1 11 5.231 8.93 7.039 3.027 2 5.447
TRINITY_DN93558_c0_g1 9 4 17 0 1 1 1 0 0 0 0 0
TRINITY_DN93559_c0_g1 0 1 1 12 0 0 0 11.067 0 5 6 3
TRINITY_DN93559_c0_g2 7 0 3 9 0 0 0 6.933 0 1 4 3
TRINITY_DN9356_c0_g1 270.251 323.88 381.364 287.314 167.004 228.908 315.666 340.732 340.575 260.382 276.19 289.306
TRINITY_DN9356_c0_g3 65 43.315 33.11 17 8.382 21.749 25.097 12.912 21.775 8 6 14.491
TRINITY_DN9356_c0_g4 61.003 12 48 41.115 21.009 34 8 13 16 14 8 20
TRINITY_DN93561_c0_g1 0 0 0 0 0 0 0 0 0 0 19.244 0
TRINITY_DN93561_c0_g2 0 0 0 0 0 0 0 0 0 0 10.756 0
TRINITY_DN2478_c0_g1 340.621 249.867 646.666 842.285 529.841 757.649 3619.23 2984.227 2203.856 2502.284 2683.168 3104.023
TRINITY_DN80101_c0_g1 0 0 0 0 0 0 0 0 0 0 14 0
TRINITY_DN9648_c0_g1 3007.266 2433.128 2860.496 1036.454 583.467 1244.826 897.424 875.722 935.423 614.32 576.399 475.443
TRINITY_DN73242_c0_g1 8 0 8 4 0 1 2 1 3.276 2 0 0
TRINITY_DN73242_c1_g1 1 1 5.703 0 0 0 0 2 1 1 0 0
TRINITY_DN73242_c2_g1 0 0 3 1 0 0 2 0 0 3 1 0
TRINITY_DN73243_c0_g1 3.047 5 10 15 6 16.007 32.321 27.005 22.622 19 28 34.266
TRINITY_DN73243_c1_g1 2 0 0 2 0 0 1 4.877 2.695 5.83 5.49 1.003
TRINITY_DN73243_c1_g2 0 0 5.004 4 1 2 0 4.123 3 3.887 4 1
TRINITY_DN73243_c1_g3 0 0 4 5 2 2 7 7 12.305 3.282 7.518 2.997
TRINITY_DN73244_c0_g1 0.992 3 4 6 2 6 6.113 1 7.217 1 5 4
TRINITY_DN73244_c0_g2 1.008 0 0 3 1 0 2.887 0 1.835 0 0 1
TRINITY_DN73245_c0_g1 0 0 2 3 1 1 2 5.588 3 4 15.954 17.148
TRINITY_DN73248_c0_g1 5 1 7 2 0 0 2 0 0 0 1 1
TRINITY_DN21641_c0_g1 691.307 662.058 759.303 646.224 351.667 460.408 1339.778 1545.797 1041.793 1593.837 1297.133 1494.812
TRINITY_DN7500_c1_g2 4.222 6.365 1.013 2 0 1.007 0 2 4 2 0 1.215
TRINITY_DN7500_c2_g1 3 11 4 8.903 12 15.993 16.919 11.12 10.03 7.023 12.598 7.573
TRINITY_DN7500_c3_g1 5 1 7.003 6 3 5 7.364 7 9.87 7.635 7.986 11.155
TRINITY_DN75000_c1_g2 4 1.131 1 6.698 1 2 2 5 1 4 2 1
TRINITY_DN10599_c0_g1 16 15.431 84 61 25 56 309.432 236.086 268.459 567.716 654.36 920.91
TRINITY_DN75000_c2_g1 0 0 4 2 1 0 5 2 4 1 1 4
TRINITY_DN75002_c0_g1 0 0 0 0 0 0 12 8 6 0 0 0
TRINITY_DN75003_c0_g1 1.343 0 4 0 0 0 1.056 0 0 0 1.53 0
TRINITY_DN75003_c0_g2 53.657 16 30 30 12 25 25.972 28.006 43.079 8 13.47 21
TRINITY_DN59852_c1_g1 0 0 0 0 0 0 3 5 0 0 0 2
TRINITY_DN75003_c1_g1 3.047 0 1.318 0 0 4 8.951 5.996 3 9.703 5 4
TRINITY_DN75003_c1_g2 0.953 0 0 0 0 0 4.024 3 4 1 3 4
TRINITY_DN75004_c0_g1 3 0 1 8 1 2 4 13 8 6 8 11
TRINITY_DN4896_c0_g1 1788.746 1397.211 1864.378 1417.174 695.362 1283.783 1705.749 1896.934 1240.383 1238.393 1267.579 1785.494
TRINITY_DN75007_c0_g1 0 5 6 10 1 6 4 2 1 2 1 3
TRINITY_DN75008_c0_g1 8.085 0 7 5 2 1 2 2 1 0 1 1
TRINITY_DN75008_c0_g2 5.093 3.003 9 1.013 2 0 1 0 1 0 0 1
TRINITY_DN75008_c1_g1 1 0 1 1 1 3 2 1 1 2 1 2
TRINITY_DN75009_c0_g1 6 6 8 5 3 1 8 5 2 5 12 6
TRINITY_DN7501_c0_g1 253.608 209.937 849.125 1324.639 504.019 2019.463 142.025 108.99 163.953 107.454 140.732 78.678
TRINITY_DN245064_c0_g1 0 0 0 0 0 0 0 0 0 0 11 0
TRINITY_DN6390_c0_g1 2488.018 1854.156 2549.155 1164.911 659.805 1517.974 1508.958 1546.663 1578.014 1051.055 830.413 1112.716
TRINITY_DN75_c0_g1 0 0 0 2.166 0 0 5.007 2 5 2 6 2
TRINITY_DN75_c0_g2 21 9.001 38 146.892 43 37.032 333.001 305.238 487.651 285.339 314.058 381.319
TRINITY_DN75_c1_g1 5 7 2 11.839 5.489 4 1 4.569 8 28485.827 44108.136 56958.436
TRINITY_DN750_c0_g1 30.979 44 35.507 12.517 8 19 0 2 0 1 0 2
TRINITY_DN750_c1_g1 26 177.54 85.038 188.643 90.53 207.096 36.37 39.019 48.008 39.672 41.083 43.692
TRINITY_DN69365_c0_g1 152.879 109.003 313.754 267.735 165.016 188.584 614.937 607.266 717.132 856.83 783.149 785.295
TRINITY_DN750_c2_g1 222.838 184.495 442.398 994.056 553.479 950.645 446.11 533.303 803.238 675.559 513.162 664.837
TRINITY_DN83069_c0_g1 19.002 12.827 21.049 11.134 6.099 18.977 6.026 4.037 6.568 6.221 2.022 7.031
TRINITY_DN572_c0_g1 763.911 310.995 745.853 713.373 846.918 716.15 2876.282 2395.014 2549.947 2551.821 2904.322 2158.825
TRINITY_DN7325_c3_g1 14.007 15.976 20.305 16.007 7 15 12 11.01 8 13.001 18 20.001
TRINITY_DN7325_c6_g1 6 0 1 1 2 0 8.424 9 7 3.07 4 9.892
TRINITY_DN73250_c0_g1 5 3.723 4 2 3.006 1 0 0 1.007 0 0 0
TRINITY_DN73250_c0_g2 14 13.894 7 12 5.994 11 2 0 0.993 1 0 1
TRINITY_DN5072_c0_g1 597.411 475.58 1177.009 779.348 535.105 988.999 1237.033 1123.462 1500.47 685.685 804.666 671.257
TRINITY_DN73250_c0_g3 1 13.664 1 11 2 4.678 0 0 0 0 0 0
TRINITY_DN73250_c2_g1 13.977 6.284 4 0 1 1 0 2 3 0 0 0
TRINITY_DN73254_c0_g1 0 0 0 0 2 0 1 1 0 4 2 3
TRINITY_DN73254_c0_g2 0 0 0 0 0 0 4 4 4 3 2 3
TRINITY_DN73258_c0_g1 0 0 0 0 0 0 2 1 0 5 13 4
TRINITY_DN73259_c0_g1 6 0 0 0 0 8 1 5 7 0 4 4
TRINITY_DN7326_c0_g1 19 13 9 18 3 7 28 30 30 29 19 24
TRINITY_DN73264_c0_g1 0 0 0 0 0 0 0 0 0 0 21 0
TRINITY_DN73268_c0_g1 2.88 0 3 5 5.99 6.659 0 1 3 1 1.64 1
TRINITY_DN73268_c0_g2 0 3 13 19.001 9.003 16.96 49.173 35 57 48.076 48.852 49.55
TRINITY_DN778_c0_g1 929.495 737.332 1228.556 1233.829 759.753 1218.975 1853.409 1998.448 2189.125 1634.552 2304.56 1792.183
